title,url,content,create_time,author
[閒聊] 蝦皮新制手續費實施三個月大家的留存現況,https://www.ptt.cc/bbs/e-seller/M.1775302411.A.820.html,"蝦皮這波手續費從年初調整到現在也三個月了，想問問各位前輩目前的營運體感？
這一季算下來，扣掉成交與大促抽成，獲利縮水很多
目前我已關掉低毛利產品，大家這幾個月有什麼具體的避險或轉移策略嗎？",2026-04-04 19:33:29,wjky (JEM)
[問題] 家附近的蝦皮都不支援店到家宅配寄貨,https://www.ptt.cc/bbs/e-seller/M.1774373163.A.CBD.html,"我是個人賣家，買家下標一樣大型物品，選擇店到家宅配

我家附近有兩間智取店

可以印出寄件單，但都顯示「本門市未提供店到家宅配寄件」

上蝦皮查，查半天也只看到「若寄件機無【隔日到貨 | 店到家宅配】寄件功能，請
至其他門市操作，詳細資訊請參考 無法配合隔日到貨服務門市清單。」

然後我要點無法配合的服務門市清單，點進去是404頁面錯誤

我只想要知道哪間門市可以寄 一直查不出所以然

然後我的十公斤的貨是用走路拿的

不想再走來走去親自嘗試錯誤啊!有人知道嗎？",2026-03-25 01:26:01,isawxsdto (夏天的風景)
[問題] 蝦皮商品無法編輯付款方式,https://www.ptt.cc/bbs/e-seller/M.1774228004.A.6A7.html,"在商品編輯頁面中完全中沒有付款選項可以選
然後被系統自動下架禁賣
超級白癡

我去賣場設定-付款設定那邊開啟信用卡支付（已認證）
但是不論回來編輯舊的商品，或是開新的新增
都還是沒跳出付款選項可以選

請問這個你們有遇到嗎

我賣的是遊戲序號，所以我設定宅配
不知道有無影響",2026-03-23 09:06:42,Barefoot24 (アドル)
[問題] 蝦皮實際收入多少怎麼看?,https://www.ptt.cc/bbs/e-seller/M.1773892171.A.3A2.html,"抱歉 新手發問 做蝦皮這幾天下來銷售金額大概5萬左右
我有開免運 蝦幣10%回饋 是賣休閒零食堅果類 手續費大在17%左右

我賣5萬塊的金額(前七天營收 不算今天的營收)

但是蝦皮錢包的實際收入估計卻只有快3萬(含今天)

我沒有找直播主賣那些的  就都靠廣告跟自然流量

手續費17%的話 應該也快要4萬才對  突然少了1萬怎麼會這樣

這樣賣五萬 只收三萬 被收走2萬  就40%了?

怎麼看到實際會收多少呢?  抱歉  不太懂系統",2026-03-19 11:49:25,shayne5626 (真誠的微風)
[問題] 蝦皮賣場商品消失,https://www.ptt.cc/bbs/e-seller/M.1773844342.A.7EE.html,"有人遇過這種情況嗎？

後台上架的商品在賣場裡面找不到，無論是自己帳號還是開其他帳號都沒有。

從後台即時預覽可以點進去，但是拿同樣的網址在瀏覽器開，會顯示此商品不存在。

目前後台有22件商品，但賣場只有7件商品。
最近沒有更新這些商品，所以也沒審核問題",2026-03-18 22:32:20,maplefoxs (狐狸怎麼叫)
[問題] 蝦皮成交手續費問題,https://www.ptt.cc/bbs/e-seller/M.1773406059.A.AD6.html,"我只是佛心賣家　
我剛看我成交手續費是７．５％
疑　這我記得成成交手續費是５．５％
怎漲價了ˊ？
是因為活動促銷２％　強制加上去嗎？
換句話說　有辦法不參加那２％嗎？",2026-03-13 20:47:34,jackjenny (痛苦)
[問題] 蝦皮抽成問題？,https://www.ptt.cc/bbs/e-seller/M.1769860314.A.5D3.html,"現在蝦皮是方案1， 有買家下標後顯示出最終進帳，如圖，想問這還會扣掉60運費嗎？
實收是否會如圖所示，謝謝",2026-01-31 19:51:51,rook18ies (天地一海鷗)
[問題] 蝦皮到底方案怎選,https://www.ptt.cc/bbs/e-seller/M.1769227011.A.608.html,"我是小小小賣家

剛發現 其他服務費被抽60..但也還有一筆成交手續費6.5%
有看新聞稿 好像是2025.12有個公告 沒選擇蝦皮幫你選被抽60那個方案
問題
Q1.方二案二 被抽60那個方案 怎取消了?好像沒人提到可否取消?
Q2.我這奈米賣家 手續費6.5%+服務費60 受不了阿 怎會這樣
   有辦法只要手續費6.5%嗎? 而不要服務費60",2026-01-24 11:56:49,jackjenny (痛苦)
[閒聊] 關於蝦皮非官方廣告,https://www.ptt.cc/bbs/e-seller/M.1768958827.A.CBF.html,"近期蝦皮手續費關系
本來在蝦皮投放廣告金額想縮減

另一方面也花一些錢建立自己品牌的網站

於是想說投放到蝦皮以外的廣告
Google 後看到一個有趣的蝦皮非官方廣告發送服務
標榜短時間可以發送給數十萬以上消費者

價位相對官方廣告親民許多
因為是每月扣款吃到飽，想說試試看

使用三天的心得，先說好處
1. 蝦皮店流量多100%以上
2. 可能蝦皮店名稱和官網相同，官網流量也上升2成

缺點目前看到的是
大量接觸消費者，有人看到廣告會不爽來罵人

不知道版上有沒有學長姐也用過？
有沒有其他短時間沒遇到的問題",2026-01-21 09:27:05,yl1081 (豬)
Re: [閒聊] 2026 蝦皮手續費調整,https://www.ptt.cc/bbs/e-seller/M.1767319684.A.277.html,"不同商品類別的成交手續費>>

較長備貨3%手續費免除種類>>

假設成交手續費5.5%+金流處理費2.5%=8%
小賣家方案2要收到1000元
可以1000x1.087+66=1153
1153x0.08=93
1153-93-60=1000

政府要課5%稅的話
可以1000x1.15+69=1219
1219x0.08=98
1219x0.05=61
1219-98-61-60=1000",2026-01-02 10:08:02,froglilibon (立立蹦)
